날짜,SKU,입고수량
2024-06-21,블랙/20인치,153
2024-06-21,다크그레이/28인치,48
2024-06-21,다크그레이/24인치,153
2024-06-21,블랙/24인치,153
2024-06-21,다크그레이/20인치,152
2024-06-21,블랙/28인치,132
2024-07-09,다크그레이/24인치,55
2024-07-09,다크그레이/28인치,155
2024-07-09,다크그레이/20인치,55
2024-08-27,블랙/24인치,100
2024-08-27,다크그레이/24인치,500
2024-08-27,다크그레이/20인치,450
2024-08-27,블랙/20인치,100
2024-08-27,다크그레이/28인치,550
2024-08-27,블랙/28인치,100
2024-10-02,화이트/28인치,90
2024-10-02,다크그레이/20인치,300
2024-10-02,블랙/24인치,40
2024-10-02,다크그레이/24인치,200
2024-10-02,다크그레이/28인치,550
2024-10-02,화이트/24인치,40
2024-10-02,화이트/20인치,40
2024-10-02,블랙/28인치,90
2024-10-02,블랙/20인치,40
2024-10-04,블랙/24인치,150
2024-10-04,화이트/24인치,150
2024-10-04,화이트/20인치,150
2024-10-04,화이트/28인치,100
2024-10-04,블랙/28인치,100
2024-10-04,블랙/20인치,150
2024-10-07,다크그레이/24인치,300
2024-10-07,블랙/28인치,10
2024-10-07,다크그레이/28인치,50
2024-10-07,블랙/24인치,10
2024-10-07,화이트/28인치,10
2024-10-07,블랙/20인치,10
2024-10-07,화이트/20인치,10
2024-10-07,화이트/24인치,10
2024-10-07,다크그레이/20인치,100
2024-10-29,화이트/28인치,180
2024-10-29,블랙/28인치,169
2024-10-29,다크그레이/28인치,227
2024-11-06,다크그레이/28인치,100
2024-11-06,다크그레이/24인치,117
2024-11-06,화이트/24인치,200
2024-11-06,화이트/20인치,200
2024-11-06,블랙/20인치,180
2024-11-06,블랙/24인치,200
2024-11-06,다크그레이/20인치,400
2024-11-06,화이트/28인치,20
2024-11-08,다크그레이/28인치,273
2024-11-08,블랙/28인치,31
2024-11-08,블랙/20인치,20
2024-11-08,다크그레이/24인치,383
2024-12-11,다크그레이/28인치,368
2024-12-11,블랙/28인치,200
2025-01-03,블랙/24인치,50
2025-01-03,화이트/28인치,250
2025-01-03,다크그레이/28인치,110
2025-01-03,화이트/24인치,50
2025-01-03,블랙/28인치,50
2025-01-03,다크그레이/24인치,100
2025-01-20,화이트/28인치,1
2025-01-20,다크그레이/28인치,449
2025-01-20,블랙/24인치,350
2025-01-20,화이트/24인치,350
2025-01-20,다크그레이/20인치,500
2025-01-20,화이트/20인치,281
2025-01-20,블랙/28인치,550
2025-01-20,다크그레이/24인치,600
2025-02-05,블랙/20인치,310
2025-02-05,화이트/28인치,450
2025-02-05,다크그레이/24인치,32
2025-02-05,다크그레이/28인치,413
2025-02-05,화이트/20인치,119
2025-02-06,블랙/20인치,110
2025-02-06,다크그레이/24인치,368
2025-02-06,다크그레이/28인치,859
2025-06-04,다크그레이/24인치,500
2025-06-04,화이트/24인치,200
2025-06-04,다크그레이/28인치,347
2025-06-04,다크그레이/20인치,287
2025-06-04,화이트/28인치,200
2025-06-10,다크그레이/28인치,153
2025-06-10,다크그레이/20인치,13
2025-06-10,블랙/28인치,250
2025-07-03,블랙/24인치,150
2025-07-03,화이트/20인치,237
2025-07-03,다크그레이/24인치,699
2025-07-03,다크그레이/20인치,345
2025-07-03,화이트/28인치,116
2025-07-03,화이트/24인치,249
2025-07-10,화이트/20인치,12
2025-07-10,다크그레이/28인치,699
2025-07-10,화이트/28인치,82
2025-07-10,블랙/24인치,199
2025-07-10,다크그레이/20인치,3
2025-07-10,블랙/28인치,199
2025-10-29,다크그레이/20인치,449
2025-10-29,화이트/20인치,39
2025-10-29,다크그레이/24인치,396
2025-10-29,화이트/28인치,182
2025-10-29,블랙/20인치,25
2025-10-29,다크그레이/28인치,736
2025-10-29,블랙/24인치,28
2025-10-29,블랙/28인치,253
2025-10-29,화이트/24인치,24
2026-02-04,블랙/20인치,204
2026-02-04,블랙/28인치,204
2026-02-04,블랙/24인치,125
2026-02-04,다크그레이/28인치,49
2026-02-04,다크그레이/24인치,372
2026-02-04,화이트/20인치,200
2026-02-04,다크그레이/20인치,200
2026-02-04,화이트/24인치,209
2026-02-05,다크그레이/28인치,359
2026-02-05,화이트/28인치,165
2026-02-05,블랙/24인치,76
2026-02-05,화이트/20인치,9
2026-05-26,다크그레이/24인치,120
2026-06-15,다크그레이/28인치,403
2026-06-15,다크그레이/24인치,80
